A00.000 霍乱，由于O1群霍乱弧菌，霍乱生物型所致
M20.501 后天性仰趾畸形
M20.502 后天性脚趾重叠
M20.503 后天性脚趾肥大
M20.504 后天性爪形趾
M20.505 鸡趾
M20.506 脚趾挛缩
M20.507 脚趾下垂
M20.508 竖起趾
M20.600 趾后天性变形
M21.000 外翻变形，不可归类在他处者
M21.000x051 后天性髋外翻
M21.000x071 后天性马蹄外翻足
M21.001 后天性肘外翻
M21.002 后天性膝外翻
M21.003 后天性足外翻
M21.100 内翻变形，不可归类在他处者
M21.100x011 后天性肩内翻
M21.100x051 后天性髋内翻
M21.100x072 后天性踝内翻
M21.101 弓形腿
M21.102 后天性肘内翻
M21.103 髋关节内翻变形
M21.104 后天性膝内翻
M21.105 后天性足内翻
M21.200 屈曲变形
M21.200x001 后天性肢体屈曲变形
M21.200x021 后天性肘关节屈曲变形
M21.200x031 后天性前臂屈曲变形
M21.200x032 后天性腕关节屈曲变形
M21.200x041 后天性手屈曲变形
M21.200x061 后天性膝关节屈曲变形
M21.201 手屈曲畸形
M21.202 膝关节屈曲畸形
M21.300 腕或足（后天性）下垂
M21.301 后天性腕下垂
M21.302 后天性足下垂
M21.400 后天性扁平足[平足]
M21.401 足弓下陷
M21.402 足弓松弛
M21.500 后天性爪形手、畸形手、爪形足和畸形足
M21.501 后天性爪形手
M21.502 后天性手畸形
M21.503 后天性爪形足
M21.504 后天性足畸形
M21.505 后天性马蹄内翻足
M21.600 踝和足其他后天性变形
M21.600x071 后天性足变形
M21.600x072 后天性踝变形
M21.601 后天性弓形足
M21.602 足旋前
M21.603 足凹陷
M21.604 后天性踝关节畸形
M21.605 踝旋前
M21.700 四肢（后天性）长度不等
M21.700x031 后天性尺骨短缩变形
M21.700x061 后天性胫骨短缩变形
M21.701 后天性上臂短缩畸形
M21.702 后天性前臂短缩畸形
M21.703 后天性股骨短缩畸形
M21.704 后天性大腿短缩畸形
M21.705 后天性髋短缩畸形
M21.706 后天性小腿短缩畸形
M21.800 四肢其他特指的后天性变形
M21.801 后天性锁骨畸形
M21.802 后天性肩胛骨畸形
M21.803 翼状肩胛
M21.804 后天性肱骨畸形
M21.805 后天性股骨畸形
M21.806 后天性胫骨畸形
M21.807 后天性腓骨畸形
M21.808 布鲁克病
M21.900 四肢后天性变形
M21.900x011 后天性肩关节变形
M21.900x041 后天性腕关节变形
M21.900x051 后天性上肢变形
M21.901 后天性上臂畸形
M21.902 后天性尺骨畸形
M21.903 后天性桡骨畸形
M21.904 后天性前臂畸形
M21.905 后天性掌骨畸形
M21.906 后天性髋关节畸形
M21.907 后天性膝关节畸形
M21.908 后天性下肢畸形
M22.000 复发性髌骨脱位
M22.100 复发性髌骨不全脱位
M22.200 髌股疾患
M22.200x001 髌股关节病
M22.201 髌骨关节病
M22.300 髌骨的其他紊乱
M22.300x001 髌骨不稳定
M22.301 髌骨滑脱
M22.400 髌骨软骨软化
M22.800 髌骨的其他疾患
M22.801 髌骨外侧过度挤压综合征
M22.802 髌骨畸形
M22.900 髌骨疾患
M23.000 囊性半月板
M23.000x031 膝内侧半月板囊肿
M23.000x061 膝外侧半月板囊肿
M23.001 膝半月板囊肿
M23.100 盘状半月板（先天性）
M23.200 陈旧性撕裂或损伤引起的半月板紊乱
M23.200x092 陈旧性桶柄状撕裂
M23.201 陈旧性前十字韧带损伤
M23.202 陈旧性内侧半月板前角损伤
M23.203 陈旧性后十字韧带损伤
M23.204 陈旧性内侧半月板后角损伤
M23.205 陈旧性膝内侧半月板损伤
M23.206 陈旧性膝内侧副韧带损伤
M23.207 陈旧性膝外侧副韧带损伤
M23.208 陈旧性膝外侧半月板前角损伤
M23.209 陈旧性膝外侧半月板后角损伤
M23.210 陈旧性膝外侧半月板损伤
M23.211 陈旧性膝关节囊韧带损伤
M23.212 陈旧性膝半月板断裂
M23.213 陈旧性膝半月板损伤
M23.214 陈旧性膝韧带损伤
M23.215 陈旧性膝内多发性损伤
M23.300 半月板紊乱，其他的
M23.300x061 膝外侧半月板紊乱
M23.300x062 膝内侧半月板紊乱
M23.301 内侧半月板前角损伤
M23.302 内侧半月板后角损伤
M23.303 内侧半月板损伤
M23.304 外侧半月板前角损伤
M23.305 外侧半月板后角损伤
M23.306 外侧半月板损伤
M23.307 半月板变性
M23.308 半月板损伤
M23.309 半月板运动过度
M23.310 遗留的半月板
M23.311 复发性半月板紊乱
M23.400 膝关节游离体
M23.500 膝的慢性不稳定性疾患
M23.500x091 膝前内侧旋转不稳定
M23.501 陈旧性膝韧带破裂
M23.600 膝韧带的其他自然破裂
M23.601 自发性膝韧带破裂
M23.800 膝关节内紊乱，其他的
M23.800x001 膝后外复合体损伤
M23.800x011 陈旧性膝前十字韧带断裂
M23.800x021 陈旧性膝后十字韧带断裂
M23.800x031 陈旧性膝内侧副韧带断裂
M23.800x041 陈旧性膝外侧副韧带断裂
M23.800x094 陈旧性膝关节韧带损伤
M23.800x095 陈旧性膝关节软骨损伤
M23.801 前十字韧带松弛
M23.802 后十字韧带松弛
M23.803 内侧副韧带松弛
M23.804 外侧副韧带松弛
M23.805 膝关节囊韧带松弛
M23.806 膝韧带松弛
M23.807 弹响膝
M23.808 膝关节滑膜嵌顿
M23.809 膝韧带囊肿
M23.810 膝关节锁定
M23.811 膝关节粘连
M23.812 髌韧带粘连
M23.900 膝关节内紊乱
M24.000 关节游离体
M24.001 肩关节游离体
M24.002 肘关节游离体
M24.003 腕关节游离体
M24.004 指关节游离体
M24.005 髋关节游离体
M24.006 踝关节游离体
M24.100 关节软骨疾患，其他的
M24.100x071 陈旧性踝距骨软骨损伤
M24.100x072 陈旧性踝胫骨软骨损伤
M24.100x091 陈旧性关节软骨损伤
M24.101 关节软骨变性
M24.102 陈旧性关节软骨撕裂
M24.200 韧带疾患
M24.202 陈旧性踝外侧副韧带断裂
M24.203 项韧带肥厚
M24.204 黄韧带肥厚
M24.205 寰枢横韧带松弛
M24.206 韧带钙化
M24.207 韧带后天性畸形
M24.208 韧带挛缩
M24.209 韧带内囊肿
M24.210 韧带松弛
M24.300 关节病理性脱位和不全脱位，不可归类在他处者
M24.300x091 关节病理性脱位
M24.301 自发性寰枢椎脱位
M24.302 自发性寰枢椎半脱位
M24.303 髋关节病理性脱位
M24.304 髋关节病理性不全脱位
M24.305 膝关节病理性脱位
M24.306 膝关节病理性不全脱位
M24.307 踝关节病理性脱位
M24.308 踝关节病理性不全脱位
M24.309 足关节病理性脱位
M24.310 足关节病理性不全脱位
M24.311 自发性关节脱位
M24.400 关节复发性脱位和不全脱位
M24.401 复发性肩关节脱位
M24.402 复发性肩关节不全脱位
M24.403 复发性肘关节脱位
M24.404 复发性肘关节不全脱位
M24.405 复发性腕关节脱位
M24.406 复发性腕关节不全脱位
M24.407 复发性手骨间关节脱位
M24.408 复发性手骨间关节不全脱位
M24.409 复发性髋关节脱位
M24.410 复发性髋关节不全脱位
M24.411 复发性膝关节脱位
M24.412 复发性膝关节不全脱位
M24.414 复发性踝关节脱位
M24.415 复发性踝关节不全脱位
M24.416 关节习惯性脱位
M24.417 关节习惯性不全脱位
M24.500 关节挛缩
M24.500x001 多发关节挛缩
M24.501 髋关节挛缩
M24.502 膝关节挛缩
M24.503 踝关节挛缩
M24.600 关节强硬
M24.601 多发性关节强硬
M24.602 肩关节强硬
M24.603 肘关节强硬
M24.604 腕关节强硬
M24.605 手骨间关节强硬
M24.606 髋关节强硬
M24.607 膝关节强硬
M24.608 踝关节强硬
M24.609 关节骨性强硬
M24.610 关节纤维变性
M24.700 髋臼前突
M24.701 髋关节内陷
M24.800 关节紊乱，其他特指的不可归类在他处者
M24.800x052 髋关节撞击综合征
M24.801 陈旧性肩关节脱位
M24.802 肩关节粘连
M24.803 陈旧性肘关节脱位
M24.804 肘关节粘连
M24.805 陈旧性腕关节脱位
M24.806 陈旧性手骨间关节脱位
M24.807 陈旧性髋关节脱位
M24.808 陈旧性膝关节脱位
M24.810 陈旧性踝关节脱位
M24.811 关节粘连
M24.812 尺骨撞击综合征
M24.900 关节紊乱
M24.900x052 骶髂关节紊乱
M24.901 肩关节紊乱
M24.902 肘关节紊乱
M24.903 腕关节紊乱
M24.904 手骨间关节紊乱
M24.905 髋关节紊乱
M24.906 踝关节紊乱
M24.907 腰椎关节滑膜嵌顿
M24.908 腰椎小关节紊乱
M25.000 关节积血
M25.001 肩关节积血
M25.002 肘关节积血
M25.003 腕关节积血
M25.004 手骨间关节积血
M25.005 髋关节积血
M25.006 膝关节积血
M25.007 踝关节积血
M25.100 关节瘘
M25.100x011 肩关节瘘
M25.100x021 肘关节瘘
M25.100x031 腕关节瘘
M25.100x051 髋关节瘘
M25.100x061 膝关节瘘
M25.100x071 踝关节瘘
M25.200 连枷状关节
M25.201 关节松弛
M25.300 关节的其他不稳定性疾患
M25.301 关节不稳定
M25.400 关节渗出
M25.401 肩关节积液
M25.402 肩关节肿胀
M25.403 肘关节积液
M25.404 肘关节肿胀
M25.405 腕关节积液
M25.406 腕关节肿胀
M25.407 手骨间关节积液
M25.408 手骨间关节肿胀
M25.409 髋关节积液
M25.410 髋关节肿胀
M25.411 膝关节积液
M25.412 膝关节肿胀
M25.413 踝关节积液
M25.414 踝关节肿胀
M25.415 关节积液
M25.416 关节肿胀
M25.500 关节痛
M25.501 肩关节痛
M25.502 肘关节痛
M25.503 腕关节痛
M25.504 手骨间关节痛
M25.505 髋关节痛
M25.506 膝关节痛
M25.507 踝关节痛
M25.600 关节僵硬，不可归类在他处者
M25.600x091 关节僵硬
M25.601 肢体僵硬
M25.602 肩关节僵硬
M25.603 肘关节僵硬
M25.604 腕关节僵硬
M25.605 指关节僵硬
M25.606 髋关节僵硬
M25.607 膝关节僵硬
M25.608 踝关节僵硬
M25.700 骨赘
M25.800 关节疾患，其他特指的
M25.800x092 关节周围骨化
M25.801 多部位关节钙化
M25.802 肩关节钙化
M25.803 肩关节囊肿
M25.804 肘关节囊肿
M25.805 腕关节囊肿
M25.807 髋关节囊肿
M25.808 膝关节囊肿
M25.809 踝关节囊肿
M25.810 关节周围异位骨化
M25.900 关节疾患
M25.900x031 腕关节肿物
M25.900x061 膝关节肿物
M25.901 关节肿物
M30.000 结节性多动脉炎
M30.001+G73.7* 结节性多动脉炎性肌病
M30.002+G63.5* 结节性多动脉炎性多神经病
M30.003+G63.5* 结节性多动脉炎性周围神经病
M30.004 多脉管炎
M30.005+F02.8* 结节性多动脉炎性痴呆
M30.100 多动脉炎伴有肺受累[丘格-斯特劳斯]
M30.100x001 嗜酸性肉芽肿性血管炎
M30.101 变应性肉芽肿性血管炎
M30.200 幼年型多动脉炎
M30.300 黏膜皮肤淋巴结综合征[川崎病]
M30.301 IVIG无应答型川崎病
M30.800 与结节性多动脉炎有关的其他情况
M30.801 多脉管炎重叠综合征
M31.000 过敏性血管炎
M31.000x002 免疫性血管炎
M31.000x005 变应性皮肤血管炎
M31.001 古德帕斯丘综合征
M31.002+N08.5* 抗肾小球基底膜抗体病
M31.003+N08.5* 肺出血肾炎综合征相关肾小球肾炎
M31.100 血栓性微血管病
M31.101 血栓性血小板减少性紫癜
M31.102+N08.5* 血栓性血小板减少性紫癜相关肾小球肾炎
M31.300 韦格纳肉芽肿病
M31.300x002 坏死性呼吸道肉芽肿病
M31.301 口腔黏膜韦格纳肉芽肿
M31.302+J99.1* 韦格纳肉芽肿病累及肺
M31.304+J99.1* 多发性血管炎性肉芽肿病累及肺
M31.305+N08.5* 肉芽肿性血管炎相关肾小球肾炎
M31.400 主动脉弓综合征[高安病]
M31.500 巨细胞动脉炎伴有风湿性多肌痛
M31.600 巨细胞动脉炎，其他的
M31.700 显微镜下多脉管炎
M31.701+N08.5* ANCA相关性肾炎
M31.702+G63.5* 显微镜下多血管炎性周围神经病
M31.703+N08.5* 血管炎性肾小球肾炎
M31.800 坏死性血管病，其他特指的
M31.801 HCV感染相关血管炎
M31.802 ANCA相关性血管炎
M31.803 低补体血症血管炎
M31.804 系统性血管炎
M31.900 坏死性血管病
M31.900x001 坏死性脉管炎
M32.000 药物性系统性红斑狼疮
M32.100 系统性红斑狼疮，累及器官或系统
M32.100x016 狼疮性关节炎
M32.101+N08.5* 狼疮性肾炎
M32.102+N16.4* 狼疮性肾小管间质肾炎
M32.103+J99.1* 狼疮性肺炎
M32.104+I43.8* 狼疮性心肌病
M32.105+I32.8* 狼疮性心包炎
M32.106+G63.5* 狼疮性周围神经病
M32.107+G99.2* 狼疮性脊髓病变
M32.108+K77.8* 狼疮性肝损害
M32.109+I39.8* 利布曼-萨克斯病
M32.110+G73.7* 狼疮性肌病
M32.111+D77* 狼疮性血液系统损害
M32.112+K93.8* 狼疮性胃肠道损害
M32.113+H36.8* 狼疮性视网膜病变
M32.114+G94.8* 狼疮性脑病
M32.115+K67.8* 狼疮性浆膜炎
M32.116+F02.8* 狼疮性痴呆
M32.800 系统性红斑狼疮，其他形式的
M32.900 系统性红斑狼疮
M32.901 隐匿性系统性红斑狼疮
M33.000 幼年型皮肌炎
M33.001+J99.1* 幼年型皮肌炎累及肺
M33.100 皮肌炎，其他的
M33.100x001 儿童皮肌炎
M33.100x004 成人皮肌炎
M33.101 皮肌炎
M33.102+G63.5* 皮肌炎性周围神经病
M33.103+J99.1* 皮肌炎性肺间质纤维化
M33.104 无肌病性皮肌炎
M33.105 异色皮肌炎
M33.200 多肌炎
M33.201+J99.1* 多肌炎伴肺间质纤维化
M33.900 皮多肌炎
M33.901+J99.1* 皮多肌炎累及肺
M34.000 进行性全身性硬皮病
M34.100 全身性钙质沉着综合征[CR（E）ST]
M34.200 药物和化学物质诱发的全身性硬皮病
M34.800 全身性硬皮病，其他形式的
M34.800x001+J99.1* 系统性硬化症性肺病变
M34.800x002+G73.7* 系统性硬化症性肌病
M34.800x004+N08.5* 系统性硬化症肾脏危象
M34.800x005+G53.8* 系统性硬化症累及脑神经
M34.800x006+K23.8* 系统性硬化症累及食管
M34.800x007+N08.5* 系统性硬化症肾损害
M34.800x009+I52.8* 系统性硬化症心脏损害
M34.801+J99.1* 硬皮病性肺间质纤维化
M34.802 布施克硬肿病
M34.803 蒂比耶日-魏森巴赫综合征
M34.804+G73.7* 全身性硬化性肌病
M34.805 肢端硬肿病
M34.806+G63.5* 全身性硬化性多神经病变
M34.900 全身性硬皮病
M34.900x001 系统性硬化症
M35.000 干燥综合征[舍格伦]
M35.001 继发性干燥综合征
M35.002+J99.1* 干燥综合征伴肺间质纤维化
M35.003+K77.8* 干燥综合征性肝损害
M35.004+G73.7* 干燥综合征性肌病
M35.005+H19.3* 干燥综合征性角膜结膜炎
M35.006+N16.4* 干燥综合征性肾小管间质肾炎
M35.007+N16.4* 干燥综合征性肾盂肾炎
M35.008+G94.8* 干燥综合征性中枢神经损害
M35.009+G63.5* 干燥综合征性周围神经病
M35.100 重叠综合征，其他的
M35.101 混合性结缔组织病
M35.102 混合性结缔组织病肾损害
M35.200 贝赫切特[贝切特]病
M35.201 贝赫切特病性关节炎
M35.202+N77.8* 贝赫切特病性外阴溃疡
M35.203 神经贝赫切特病
M35.300 风湿性多肌痛
M35.400 弥漫性（嗜酸细胞性）筋膜炎
M35.500 多病灶性纤维硬化病
M35.600 复发性脂膜炎[韦伯-克里斯琴]
M35.700 过度活动综合征
M35.701 家族性韧带松弛
M35.800 结缔组织其他特指的系统性受累
M35.800x001 抗合成酶综合征
M35.801 嗜酸性粒细胞增多-肌痛综合征
M35.802 近端指间关节周围胶原沉积症
M35.900 结缔组织的系统性受累
M35.900x002+G63.5* 胶原病性神经炎
M35.900x006+G63.5* 继发于结缔组织病的周围神经病
M35.900x007 高IgD综合征
M35.900x011 Satoxoshi综合征
M35.901 结缔组织病
M35.902 胶原病
M35.903+G63.5* 胶原血管性多神经病
M35.904+J99.1* 结缔组织病肺间质纤维化
M35.905 抗J0-1综合征
M35.906 IgG4相关疾病
M35.907 自身免疫病
M40.000 姿势性脊柱后凸
M40.000x091 青年型姿势性脊柱后凸
M40.100 继发性脊柱后凸，其他的
M40.100x051 继发性胸腰段脊柱后凸
M40.101 强直性脊柱炎后凸畸形
M40.200 脊柱后凸，其他的
M40.200x021 颈椎后凸
M40.200x041 胸椎后凸
M40.200x061 腰椎后凸
M40.201 脊柱后凸
M40.300 直背综合征
M40.400 脊柱前凸，其他的
M40.401 后天性脊柱前凸
M40.402 姿势性脊柱前凸
M40.500 脊柱前凸
M40.501 鞍状背
M41.000 婴儿特发性脊柱侧弯
M41.100 幼年型特发性脊柱侧弯
M41.101 青少年特发性脊柱侧弯
M41.200 特发性脊柱侧弯，其他的
M41.300 胸源性脊柱侧弯
M41.400 神经肌肉性脊柱侧弯
M41.400x091 脊髓灰质炎后脊柱侧弯
M41.401 麻痹性脊柱侧弯
M41.500 继发性脊柱侧弯，其他的
M41.501 创伤性脊柱侧弯
M41.800 脊柱侧弯，其他形式的
M41.900 脊柱侧弯
M41.900x061 腰椎侧弯
M41.901 脊柱后侧凸
M42.000 幼年型脊柱骨软骨病
M42.000x091 卡尔韦病
M42.002 幼年椎骨骺骨软骨病
M42.100 成年脊柱骨软骨病
M42.900 脊柱骨软骨病
M43.000 脊椎骨脱离
M43.001 枕寰枢椎滑脱
M43.002 颈椎滑脱
M43.003 颈椎胸椎滑脱
M43.004 胸椎滑脱
M43.005 胸椎腰椎滑脱
M43.006 腰椎滑脱
M43.007 腰骶部脊椎滑脱
M43.008 骶尾部滑脱
M43.009 腰椎峡部裂
M43.100 脊椎前移
M43.100x011 后天性寰枢椎滑脱
M43.100x021 颈椎前移
M43.100x041 胸椎前移
M43.100x061 腰椎前移
M43.100x062 后天性腰椎滑脱
M43.100x071 腰骶脊椎前移
M43.100x091 后天性脊椎滑脱
M43.101 创伤性脊椎前移
M43.102 变性性脊椎前移
M43.200 脊柱的其他融合
M43.201 寰枢椎关节强硬
M43.202 骶髂关节强硬
M43.203 后天性脊柱关节强硬
M43.300 复发性寰枢不完全性脱位伴有脊髓病
M43.400 复发性寰枢不完全性脱位，其他的
M43.500 复发性脊椎不完全性脱位，其他的
M43.501 复发性颈椎不完全性脱位
M43.502 复发性颈椎胸椎不完全性脱位
M43.503 复发性胸椎不完全性脱位
M43.504 复发性胸椎腰椎不完全性脱位
M43.505 复发性腰椎不完全性脱位
M43.600 斜颈
M43.601 肌性斜颈
M43.602 僵颈
M43.800 变形性背部病，其他特指的
M43.801 脊柱旋转不足
M43.802 腰骶关节畸形
M43.803 骶髂关节畸形
M43.804 骶骨畸形
M43.805 尾骨畸形
M43.900 变形性背部病
M43.901 后天性脊柱变形
M46.000 脊柱肌腱端病
M46.000x093 棘间韧带发育不良
M46.000x094 棘上韧带炎
M46.001 颈椎肌腱端炎
M46.002 胸椎肌腱端炎
M46.003 腰椎肌腱端炎
M46.004 颈椎棘上韧带炎
M46.100 骶髂关节炎，不可归类在他处者
M46.200 椎骨骨髓炎
M46.200x021 颈椎骨髓炎
M46.200x041 胸椎骨髓炎
M46.200x061 腰椎骨髓炎
M46.300 椎间盘感染（脓性）
M46.300x021 颈椎间盘感染
M46.300x041 胸椎间盘感染
M46.300x061 腰椎间盘感染
M46.301 化脓性胸椎间盘感染
M46.302 化脓性腰椎间盘感染
M46.400 关节盘炎
M46.401 颈椎椎间盘炎
M46.402 胸椎椎间盘炎
M46.403 腰椎椎间盘炎
M46.500 感染性脊椎病，其他的
M46.500x091 椎体感染
M46.500x092 化脓性脊柱炎
M46.501 颈椎脓肿
M46.502 胸椎脓肿
M46.503 腰椎脓肿
M46.504 骶尾椎脓肿
M46.800 炎性脊椎病，其他特指的
M46.800x091 肥大性脊柱炎
M46.800x093 变形性脊柱炎
M46.802 退行性脊柱炎
M46.803 增生性脊柱炎
M46.900 炎性脊椎病
M47.000+G99.2* 脊髓前动脉和椎动脉压迫综合征
M47.001+G99.2* 椎动脉型颈椎病
M47.002+G99.2* 椎动脉压迫综合征
M47.003+G99.2* 脊髓前动脉压迫综合征
M47.100 脊椎关节强硬伴有脊髓病，其他的
M47.101+G99.2* 脊髓型颈椎病
M47.102+G99.2* 胸椎关节强硬伴脊髓病
M47.103+G99.2* 腰椎关节强硬伴脊髓病
M47.104+G99.2* 脊椎关节强硬伴脊髓病
M47.200 脊椎关节强硬伴有神经根病，其他的
M47.201 神经根型颈椎病
M47.202 交感神经型颈椎病
M47.203 神经根型胸椎病
M47.204 神经根型腰椎病
M47.205 颈-心综合征
M47.800 脊椎关节强硬，其他的
M47.800x024 食管型颈椎病
M47.800x031 脊柱关节滑膜嵌顿
M47.800x032 齿状突骨质增生
M47.801 颈椎关节强硬
M47.802 混合型颈椎病
M47.803 胸椎关节强硬
M47.804 腰椎关节强硬
M47.806 腰骶关节强硬
M47.900 脊椎关节强硬
M47.900x091 脊柱骨关节病
M47.901 肥厚性脊柱炎
M47.902 脊柱变性
M47.903 老年性脊柱炎
M47.904 椎骨关节面破坏
M48.000 椎管狭窄
M48.000x081 尾部狭窄
M48.001 枕寰枢椎管狭窄
M48.002 颈椎椎管狭窄
M48.003 胸椎椎管狭窄
M48.004 胸腰椎椎管狭窄
M48.005 腰椎椎管狭窄
M48.006 颈腰综合征
M48.100 强直性骨肥厚[福雷斯蒂尔]
M48.100x091 弥漫性特发性骨肥厚[DISH病]
M48.200 脊椎棘突吻合
M48.200x021 颈椎棘突吻合
M48.200x041 胸椎棘突吻合
M48.200x061 腰椎棘突吻合
M48.300 创伤性脊椎病
M48.300x091 创伤后脊椎病
M48.301 颈椎椎间盘创伤性退变
M48.302 胸椎椎间盘创伤性退变
M48.303 腰椎椎间盘创伤性退变
M48.304 创伤性腰椎病
M48.305 屈梅尔脊柱炎
M48.400 脊椎疲劳性骨折
M48.401 脊椎应力性骨折
M48.500 椎体塌陷，不可归类在他处者
M48.500x092 脊椎楔入
M48.501 颈椎楔形变
M48.502 胸椎楔形变
M48.503 腰椎楔形变
M48.800 脊椎病，其他特指的
M48.800x022 颈前纵韧带骨化
M48.800x091 脊椎半切综合征
M48.801 颈椎后纵韧带骨化
M48.802 胸椎后纵韧带骨化
M48.803 胸腰椎后纵韧带骨化
M48.804 腰椎后纵韧带骨化
M48.805 骶尾椎后纵韧带骨化
M48.806 后纵韧带骨化
M48.808 黄韧带骨化
M48.810 棘突间韧带综合征
M48.811 肌性脊柱炎
M48.812 老年性脊椎萎缩
M48.900 脊椎病
M48.900x002 腰椎骨质增生
M48.901 颈椎退行性病变
M48.902 胸椎退行性病变
M48.903 腰椎退行性病变
M48.904 脊椎退行性病变
M45.x00 强直性脊柱炎
M45.x01 类风湿性脊椎炎
M45.x02 萎缩性脊柱炎
M45.x03+H22.1* 强直性脊柱炎伴虹膜睫状体炎
M50.000+G99.2* 颈椎间盘疾患伴有脊髓病
M50.001+G99.2* 颈椎间盘突出伴脊髓病
M50.100 颈椎间盘疾患伴有神经根病
M50.101+G55.1* 颈椎间盘突出伴有神经根病
M50.200 颈椎间盘移位，其他的
M50.200x001 颈椎间盘脱出
M50.201 颈椎间盘突出
M50.202 颈椎胸椎椎间盘突出
M50.300 颈椎间盘变性，其他的
M50.300x001 颈椎骨质增生
M50.301 颈椎胸椎椎间盘变性
M50.800 颈椎间盘疾患，其他的
M50.900 颈椎间盘疾患
M50.901 颈椎胸椎椎间盘疾患
M51.000+G99.2* 腰和其他椎间盘疾患伴有脊髓病
M51.001+G99.2* 胸椎间盘突出伴脊髓病
M51.002+G99.2* 胸椎腰椎椎间盘突出伴脊髓病
M51.003+G99.2* 腰椎间盘突出伴脊髓病
M51.004+G99.2* 腰骶椎间盘突出伴脊髓病
M51.100+G55.1* 腰和其他椎间盘疾患伴有神经根病
M51.100x002+G55.1* 腰椎间盘突出伴神经根病
M51.101+G55.1* 腰椎间盘脱出伴坐骨神经痛
M51.102+G55.1* 髓核疝性神经炎
M51.103+G55.1* 椎间盘疾患性腰痛伴坐骨神经痛
M51.104+G55.1* 椎间盘破裂性神经炎
M51.105+G55.1* 椎间盘移位性脊髓神经根压迫
M51.106+G55.1* 椎间盘移位性神经炎
M51.200 椎间盘移位，其他特指的
M51.200x001 胸椎间盘脱出
M51.200x004 腰骶椎间盘脱出
M51.200x005 颈胸间盘突出
M51.201 胸椎间盘突出
M51.202 腰椎间盘突出
M51.203 胸腰椎椎间盘突出
M51.204 腰骶椎间盘突出
M51.205 椎间盘移位性腰痛
M51.300 椎间盘变性，其他特指的
M51.301 胸椎间盘变性
M51.302 胸腰椎间盘变性
M51.303 腰椎间盘变性
M51.304 腰骶椎间盘变性
M51.305 椎间盘变性
M51.400 施莫尔结
M51.800 椎间盘疾患，其他特指的
M51.800x003 椎间盘囊肿
M51.800x004 椎间盘突出
M51.801 椎间盘膨隆
M51.802 椎间盘钙化
M51.803 椎间盘畸形
M51.900 椎间盘疾患
M51.901 腰椎间盘退行性病变
M53.000 颈颅综合征
M53.001 颈后交感神经综合征
M53.002 颅椎综合征
M53.100 颈臂综合征
M53.101 颈肩综合征
M53.200 脊柱不稳定性疾患
M53.201 多发性脊柱不稳定
M53.202 枕寰枢椎不稳定
M53.203 颈椎不稳定
M53.204 颈胸椎不稳定
M53.205 胸椎不稳定
M53.206 胸腰椎不稳定
M53.207 腰椎不稳定
M53.208 腰骶关节不稳定
M53.209 骶髂关节不稳定
M53.210 尾骨运动过度
M53.211 背部韧带松弛
M53.212 病理性脊柱关节脱位
M53.300 骶尾疾患，不可归类在他处者
M53.301 尾骨痛
M53.302 骶髂关节改变
M53.303 骶髂关节僵硬
M53.304 骶髂关节面破坏
M53.305 骶尾部痛
M53.306 非创伤性骶髂关节损害
M53.800 背部痛，其他特指的
M53.801 脊柱强直
M53.802 脊柱关节僵硬
M53.900 背部病
M54.000 影响到颈背区的脂膜炎
M54.001 颈部脂膜炎
M54.002 骶部脂膜炎
M54.003 背部脂膜炎
M54.100 神经根病
M54.100x021 颈神经根炎
M54.101 臂丛神经炎
M54.102 胸神经根炎
M54.103 腰神经根炎
M54.104 腰骶神经根炎
M54.105 神经根炎
M54.106 神经根痛
M54.107 神经根综合征
M54.200 颈痛
M54.300 坐骨神经痛
M54.400 腰痛伴有坐骨神经痛
M54.500 下背痛
M54.501 第三腰椎横突综合征
M54.502 腰痛
M54.503 腰背痛
M54.504 腰背肌筋膜炎
M54.505 腰肌劳损
M54.507 低背综合征
M54.600 胸段背痛
M54.800 背痛，其他的
M54.801 脊椎源性痛综合征
M54.900 背痛
M60.000 感染性肌炎
M60.000x051 大腿感染性肌炎
M60.000x061 小腿感染性肌炎
M60.000x092 热带化脓性肌炎
M60.000x093 肌肉脓肿
M60.001 肩区感染性肌炎
M60.002 上臂感染性肌炎
M60.003 前臂感染性肌炎
M60.004 手感染性肌炎
M60.005 大腿肌间脓肿
M60.006 膝关节肌间脓肿
M60.007 足感染性肌炎
M60.008 腰大肌脓肿
M60.100 间质性肌炎
M60.200 软组织异物肉芽肿，不可归类在他处者
M60.200x091 肌肉肉芽肿
M60.201 滑石粉肉芽肿
M60.800 肌炎，其他的
M60.800x061 腓肠肌炎
M60.800x081 腹壁慢性肌炎
M60.801 坏死性肌炎
M60.802 陈旧性肌炎
M60.803 腰大肌炎
M60.804 增生性肌炎
M60.805 姿势性肌炎
M60.900 肌炎
M60.901 嗜酸性肌筋膜炎
M60.902 肌筋膜炎
M60.903 巨噬细胞肌筋膜炎
M61.000 外伤性骨化性肌炎
M61.000x051 髋关节创伤后骨化性肌炎
M61.100 进行性骨化性肌炎
M61.101 进行性骨化性纤维发育不良
M61.102 弥漫性进行性骨化性多肌炎
M61.200 肌肉麻痹性钙化和骨化
M61.201 肌肉麻痹性骨化
M61.300 与烧伤有关的肌肉钙化和骨化
M61.301 烧伤后肌肉骨化
M61.400 肌肉的其他钙化
M61.500 肌肉的其他骨化
M61.501 骨化性肌炎
M61.502 骑士骨
